rep_index,arm_side,start_frame,end_frame,duration_frames,avg_angle,min_angle,max_angle,max_elbow_drift,max_torso_tilt,max_wrist_shoulder_diff,elbow_drift_flag,torso_tilt_flag,wrist_align_flag,quality_note
1,right,718,736,18,73.45308357875626,39.27995558343966,138.15241557265443,28,8.530765609948133,236,0,0,1,shallow_depth
1,left,717,737,20,51.44540643572435,9.830950904314648,140.75930993051105,50,10.133109914469811,229,1,0,1,good_depth
2,right,767,780,13,65.87782337592094,22.59434440670746,137.75757116325582,33,8.30216123488386,256,0,0,1,good_depth
3,right,811,826,15,62.94887087836564,25.856422299581553,134.3775301748451,33,8.03022602386097,257,0,0,1,good_depth
2,left,850,864,14,61.41039208323805,20.98230036515196,135.8206902398125,52,11.218842281268826,235,1,0,1,good_depth
3,left,892,903,11,70.4221087409858,24.78350021581119,135.13930784646845,40,10.719275259373543,220,0,0,1,good_depth
4,right,928,937,9,84.9986477548475,48.28103167166364,138.74401809919328,27,8.601384858714896,247,0,0,1,shallow_depth
4,left,957,968,11,70.1646361728822,22.41312519682309,134.1867162593718,47,10.576586544968752,217,1,0,1,good_depth
5,right,986,993,7,96.8403277331745,55.592803300060545,140.57695182294393,27,8.163945102442934,270,0,0,1,shallow_depth
5,left,996,1007,11,78.52623229506352,26.946967204238334,137.01667105417593,48,9.774345152092222,230,1,0,1,good_depth
6,right,1008,1016,8,85.48538354544895,45.01501061863191,136.23161744820038,29,8.331374756375727,275,0,0,1,shallow_depth
7,right,1052,1062,10,86.82733990417748,43.439707759754526,137.32254307504448,24,8.094448482272004,273,0,0,1,shallow_depth
6,left,1039,1071,32,96.87054781204947,35.10451454030925,139.72881419717856,52,10.663072125268393,212,1,0,1,shallow_depth
7,left,1088,1100,12,86.3960707056937,37.4330609179892,137.18569223029337,45,9.966946784216944,221,1,0,1,shallow_depth
8,right,1106,1116,10,96.86025410290334,50.30049291616555,141.74045790801802,30,7.721825800130975,210,0,0,1,shallow_depth
9,right,1125,1134,9,78.38486704304754,34.84660723909128,135.60157285213526,31,7.78701795463245,240,0,0,1,shallow_depth
10,right,1146,1154,8,85.73836047799647,47.64435199283503,136.14122888533913,30,8.408911732600714,263,0,0,1,shallow_depth
8,left,1167,1191,24,84.62860138807733,34.447710262491,136.6282453935632,49,9.306096884173913,221,1,0,1,shallow_depth
11,right,1193,1201,8,95.98590249729364,49.88407771227796,137.23669506537072,33,7.532601400947363,283,0,0,1,shallow_depth
9,left,1208,1220,12,65.48786094633802,12.660253641450714,139.74952111857777,49,9.309940174986037,229,1,0,1,good_depth
12,right,1225,1234,9,82.48787476544078,34.70855795004367,138.51217470218108,31,8.800197876380514,269,0,0,1,shallow_depth
10,left,1241,1253,12,72.84604794386689,23.68611628708288,137.35754602491338,47,8.553542702571805,234,1,0,1,good_depth
13,right,1258,1270,12,80.71936621304594,37.75452238881337,141.48290405512253,30,12.274726095260274,242,0,0,1,shallow_depth
11,left,1274,1288,14,68.16385135753049,24.44732985218611,136.88757913608308,61,6.65809080284824,232,1,0,1,good_depth
14,right,1294,1310,16,52.54371261244762,12.903885326346487,135.5449861632276,50,11.34617268393312,312,1,0,1,good_depth
12,left,1501,1510,9,87.28618452313475,39.6264948518963,138.0113508689865,60,7.300615823879175,278,1,0,1,shallow_depth
13,left,1525,1538,13,79.80450579322516,25.79703463227108,137.26412887382628,73,6.977029300852666,276,1,0,1,good_depth
