rep_index,start_frame,end_frame,duration_frames,avg_angle,min_angle,max_angle,max_elbow_drift,max_torso_tilt,max_wrist_shoulder_diff,elbow_drift_flag,torso_tilt_flag,wrist_align_flag,quality_note
1,622,642,20,42.97263904706917,16.37343992637997,134.75603014150195,49,10.431373564185648,175,1,0,1,good_depth
2,732,750,18,47.53842602855716,6.803331679522565,139.92670740671855,51,9.615826943256549,220,1,0,1,good_depth
3,791,815,24,39.48669943948351,4.599961291237827,141.4071187670917,52,9.462322208025617,231,1,0,1,good_depth
4,855,879,24,40.178386299247315,4.196791511832898,141.60709559628918,56,9.612114754365889,222,1,0,1,good_depth
5,1221,1239,18,48.53839923034853,8.40452652339837,138.31531985109416,46,11.513831184487012,206,1,0,1,good_depth
6,1270,1289,19,51.94021667994154,12.660749610808912,135.60465507118232,48,11.309932474020213,205,1,0,1,good_depth
7,1323,1340,17,54.457023059187875,10.013992201218084,140.7392032592013,41,11.410983126765393,178,1,0,1,good_depth
8,1374,1392,18,69.69516660188171,18.581756142115086,140.908345946365,41,10.25921065244039,194,1,0,1,good_depth
9,1423,1437,14,74.01793109590048,23.011071570095087,136.74778073939856,38,11.75793552058417,174,0,0,1,good_depth
10,1472,1486,14,101.7141558720238,52.16056939952955,139.31934999356008,42,11.75793552058417,192,1,0,1,shallow_depth
11,1513,1526,13,70.13090497285722,25.22895708992249,139.20247634518464,44,10.905022045234448,218,1,0,1,good_depth
12,1550,1566,16,46.544180464531316,10.495792048593259,132.7683728469816,48,9.41950025821625,218,1,0,1,good_depth
